Name,Condition,Price,Location,Link,Description,Car_code,Năm sản xuất:,Tình trạng:,Xuất xứ:,Kiểu dáng:,Động cơ:,Màu ngoại thất:,Màu nội thất:,Số chỗ ngồi:,Số cửa:,Số Km đã đi:
Toyota Prado VX 2.7L - 2023, Xe mới,2 Tỷ 625 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-prado-vx-2.7l-2023-5218265," *Xe nhập khẩu, màu trắng, máy xăng 2.7 L, số tự động ... ",Mã: 5218265,2023.0,Xe mới,Nhập khẩu,SUV,Xăng  2.7 L,Trắng,Kem,7 chỗ,5 cửa,
Bentley Mulsanne 6.75 V8 - 2011, Xe cũ,5 Tỷ 999 Triệu,TP HCM,https://bonbanh.com/xe-bentley-mulsanne-6.75-v8-2011-5295359," *Xe nhập khẩu, màu trắng, máy xăng 6.8 L, số tự động, đã đi 52,000 km ... ",Mã: 5295359,2011.0,Xe đã dùng,Nhập khẩu,Sedan,Xăng  6.8 L,Trắng,Đen,5 chỗ,4 cửa,"52,000 Km"
Mitsubishi Mirage 1.2 CVT Eco - 2018, Xe cũ,283 Triệu,Hà Nội,https://bonbanh.com/xe-mitsubishi-mirage-1.2-cvt-eco-2018-5438448," *Xe nhập khẩu, màu trắng, máy xăng 1.2 L, số tự động, đã đi 50,000 km ... ",Mã: 5438448,2018.0,Xe đã dùng,Nhập khẩu,Hatchback,Xăng  1.2 L,Trắng,Nhiều màu,5 chỗ,5 cửa,"50,000 Km"
Mazda 3 1.5 AT - 2018, Xe cũ,479 Triệu,Hà Nội,https://bonbanh.com/xe-mazda-3-1.5-at-2018-5443540," *Xe lắp ráp trong nước, màu xanh, máy xăng 1.5 L, số tự động, đã đi 67,899 km ... ",Mã: 5443540,2018.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  1.5 L,Xanh,Đen,5 chỗ,4 cửa,"67,899 Km"
Mazda 3 1.5L Luxury - 2019, Xe cũ,510 Triệu,Hà Nội,https://bonbanh.com/xe-mazda-3-1.5l-luxury-2019-5442882," *Xe lắp ráp trong nước, màu đỏ, máy xăng 1.5 L, số tự động, đã đi 31,289 km ... ",Mã: 5442882,2019.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  1.5 L,Đỏ,Đen,5 chỗ,4 cửa,"31,289 Km"
Kia Cerato 2.0 AT Premium - 2019, Xe cũ,515 Triệu,Hà Nội,https://bonbanh.com/xe-kia-cerato-2.0-at-premium-2019-5424246," *Xe lắp ráp trong nước, màu đỏ, máy xăng 2.0 L, số tự động, đã đi 45,689 km ... ",Mã: 5424246,2019.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  2.0 L,Đỏ,Nhiều màu,5 chỗ,4 cửa,"45,689 Km"
Ford Ranger Wildtrak 2.0L 4x4 AT - 2022, Xe cũ,850 Triệu,Hải Dương,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2022-5318666," *Xe lắp ráp trong nước, màu vàng, máy dầu 2.0 L, số tự động, đã đi 5,000 km ... ",Mã: 5318666,2022.0,Xe đã dùng,Lắp ráp trong nước,Bán tải / Pickup,Dầu  2.0 L,Vàng,Đen,5 chỗ,4 cửa,"5,000 Km"
Toyota Corolla Cross 1.8HV - 2021, Xe cũ,850 Triệu,Hải Dương,https://bonbanh.com/xe-toyota-corolla_cross-1.8hv-2021-5318646," *Xe nhập khẩu, màu đỏ, xe hybrid 1.8 L, số tự động, đã đi 35,000 km ... ",Mã: 5318646,2021.0,Xe đã dùng,Nhập khẩu,SUV,Hybrid  1.8 L,Đỏ,Nâu,5 chỗ,5 cửa,"35,000 Km"
Hyundai Accent 1.4 AT Đặc Biệt - 2022, Xe cũ,495 Triệu,Hà Nội,https://bonbanh.com/xe-hyundai-accent-1.4-at-dac-biet-2022-5440107," *Xe lắp ráp trong nước, màu đen, máy xăng 1.4 L, số tự động, đã đi 15,689 km ... ",Mã: 5440107,2022.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  1.4 L,Đen,Nhiều màu,5 chỗ,4 cửa,"15,689 Km"
Mercedes Benz C class C250 CGI - 2010, Xe cũ,300 Triệu,Hải Dương,https://bonbanh.com/xe-mercedes_benz-c_class-c250-cgi-2010-5376227," *Xe lắp ráp trong nước, màu xám, máy xăng 1.8 L, số tự động, đã đi 16,000 km ... ",Mã: 5376227,2010.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  1.8 L,Xám,Ghi,5 chỗ,4 cửa,"16,000 Km"
Mercedes Benz C class C240 Avantgarde - 2004, Xe cũ,120 Triệu,Hải Dương,https://bonbanh.com/xe-mercedes_benz-c_class-c240-avantgarde-2004-5345633," *Xe lắp ráp trong nước, màu đen, máy xăng 2.6 L, số tự động ... ",Mã: 5345633,2004.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  2.6 L,Đen,Đen,5 chỗ,4 cửa,0 Km
Samsung QM5 2.0 AT - 2014, Xe cũ,290 Triệu,Hải Dương,https://bonbanh.com/xe-samsung-qm5-2.0-at-2014-5429723," *Xe nhập khẩu, màu đen, máy xăng 2.0 L, số tự động, đã đi 15,000 km ... ",Mã: 5429723,2014.0,Xe đã dùng,Nhập khẩu,Crossover,Xăng  2.0 L,Đen,Đen,5 chỗ,5 cửa,"15,000 Km"
Daewoo Matiz Groove 1.0 AT - 2010, Xe cũ,175 Triệu,Hải Dương,https://bonbanh.com/xe-daewoo-matiz-groove-1.0-at-2010-5446817," *Xe nhập khẩu, màu xanh, máy xăng 1.0 L, số tự động ... ",Mã: 5446817,2010.0,Xe đã dùng,Nhập khẩu,Hatchback,Xăng  1.0 L,Xanh,Ghi,5 chỗ,5 cửa,0 Km
Kia Forte 1.6 MT - 2010, Xe cũ,200 Triệu,Hải Dương,https://bonbanh.com/xe-kia-forte-1.6-mt-2010-5431721," *Xe nhập khẩu, màu đen, máy xăng 1.6 L, số tay ... ",Mã: 5431721,2010.0,Xe đã dùng,Nhập khẩu,Sedan,Xăng  1.6 L,Đen,Ghi,5 chỗ,4 cửa,0 Km
Mercedes Benz E class E200 - 2015, Xe cũ,668 Triệu,TP HCM,https://bonbanh.com/xe-mercedes_benz-e_class-e200-2015-5371171," *Xe lắp ráp trong nước, màu đen, máy xăng 2.0 L, số tự động ... ",Mã: 5371171,2015.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  2.0 L,Đen,Đen,5 chỗ,4 cửa,0 Km
Hyundai i10 1.2 AT - 2024, Xe mới,421 Triệu,Cần Thơ,https://bonbanh.com/xe-hyundai-i10-1.2-at-2024-3946178," *Xe lắp ráp trong nước, màu đỏ, máy xăng 1.25 L, số tự động ... ",Mã: 3946178,2024.0,Xe mới,Lắp ráp trong nước,Hatchback,Xăng  1.25 L,Đỏ,Đen,5 chỗ,5 cửa,
Honda BR V G - 2023, Xe mới,610 Triệu,Hà Nội,https://bonbanh.com/xe-honda-br_v-g-2023-5144860," *Xe nhập khẩu, màu trắng, máy xăng 1.5 L, số tự động ... ",Mã: 5144860,2023.0,Xe mới,Nhập khẩu,SUV,Xăng  1.5 L,Trắng,Đen,7 chỗ,5 cửa,
Lexus RX 300 - 2022, Xe cũ,2 Tỷ 880 Triệu,Hà Nội,https://bonbanh.com/xe-lexus-rx-300-2022-5373758," *Xe nhập khẩu, màu xanh, máy xăng 2.0 L, số tự động, đã đi 30,000 km ... ",Mã: 5373758,2022.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  2.0 L,Xanh,Cát,5 chỗ,5 cửa,"30,000 Km"
Mercedes Benz E class E200 - 2017, Xe cũ,1 Tỷ 120 Triệu,Hà Nội,https://bonbanh.com/xe-mercedes_benz-e_class-e200-2017-5250547," *Xe lắp ráp trong nước, màu trắng, máy xăng 2.0 L, số tự động ... ",Mã: 5250547,2017.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  2.0 L,Trắng,Đen,5 chỗ,4 cửa,0 Km
Suzuki Ciaz 1.4 AT - 2019, Xe cũ,395 Triệu,Hà Nội,https://bonbanh.com/xe-suzuki-ciaz-1.4-at-2019-5413066," *Xe nhập khẩu, màu bạc, máy xăng 1.4 L, số tự động, đã đi 50,000 km ... ",Mã: 5413066,2019.0,Xe đã dùng,Nhập khẩu,Sedan,Xăng  1.4 L,Bạc,Đen,5 chỗ,4 cửa,"50,000 Km"
Kia Sedona 3.3 GAT Premium - 2020, Xe cũ,899 Triệu,Hà Nội,https://bonbanh.com/xe-kia-sedona-3.3-gat-premium-2020-5326668," *Xe lắp ráp trong nước, màu đen, máy xăng 3.3 L, số tự động, đã đi 60,000 km ... ",Mã: 5326668,2020.0,Xe đã dùng,Lắp ráp trong nước,Van/Minivan,Xăng  3.3 L,Đen,Nâu,7 chỗ,5 cửa,"60,000 Km"
Lexus RX 350 AWD - 2013, Xe cũ,1 Tỷ 389 Triệu,Hà Nội,https://bonbanh.com/xe-lexus-rx-350-awd-2013-5348859," *Xe nhập khẩu, màu trắng, máy xăng 3.5 L, số tự động ... ",Mã: 5348859,2013.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  3.5 L,Trắng,Kem,5 chỗ,5 cửa,0 Km
Lexus ES 250 - 2024, Xe mới,2 Tỷ 620 Triệu,TP HCM,https://bonbanh.com/xe-lexus-es-250-2024-5179883," *Xe nhập khẩu, màu xanh, máy xăng 2.5 L, số tự động ... ",Mã: 5179883,2024.0,Xe mới,Nhập khẩu,Sedan,Xăng  2.5 L,Xanh,Nâu,5 chỗ,4 cửa,
Ford EcoSport Titanium 1.5L AT - 2018, Xe cũ,419 Triệu,Hà Nội,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2018-5438362," *Xe lắp ráp trong nước, màu đen, máy xăng 1.5 L, số tự động, đã đi 44,000 km ... ",Mã: 5438362,2018.0,Xe đã dùng,Lắp ráp trong nước,SUV,Xăng  1.5 L,Đen,Đen,5 chỗ,5 cửa,"44,000 Km"
Mercedes Benz V class V220d CDI - 2017, Xe cũ,1 Tỷ 290 Triệu,TP HCM,https://bonbanh.com/xe-mercedes_benz-v_class-v220d-cdi-2017-5410609," *Xe nhập khẩu, màu trắng, máy dầu 2.1 L, số tự động, đã đi 50,000 km ... ",Mã: 5410609,2017.0,Xe đã dùng,Nhập khẩu,Van/Minivan,Dầu  2.1 L,Trắng,Nâu,7 chỗ,5 cửa,"50,000 Km"
Mercedes Benz C class C180 AMG - 2022, Xe cũ,1 Tỷ 120 Triệu,Hà Nội,https://bonbanh.com/xe-mercedes_benz-c_class-c180-amg-2022-5216537," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.5 L, số tự động, đã đi 16,000 km ... ",Mã: 5216537,2022.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  1.5 L,Trắng,Kem,5 chỗ,4 cửa,"16,000 Km"
Toyota Vios E CVT - 2024, Xe mới,492 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-vios-e-cvt-2024-5445976," *Xe lắp ráp trong nước, màu đỏ, máy xăng 1.5 L, số tự động ... ",Mã: 5445976,2024.0,Xe mới,Lắp ráp trong nước,Sedan,Xăng  1.5 L,Đỏ,-,5 chỗ,4 cửa,
Toyota Vios E CVT - 2022, Xe cũ,485 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-vios-e-cvt-2022-5420091," *Xe lắp ráp trong nước, màu đen, máy xăng 1.5 L, số tự động, đã đi 6,000 km ... ",Mã: 5420091,2022.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  1.5 L,Đen,Kem,5 chỗ,4 cửa,"6,000 Km"
Lexus ES 250 - 2023, Xe mới,2 Tỷ 620 Triệu,Hà Nội,https://bonbanh.com/xe-lexus-es-250-2023-5240249," *Xe nhập khẩu, màu xanh, máy xăng 2.5 L, số tự động ... ",Mã: 5240249,2023.0,Xe mới,Nhập khẩu,Sedan,Xăng  2.5 L,Xanh,Nâu,5 chỗ,4 cửa,
Peugeot 408 Premium 1.6 AT - 2023, Xe mới,1 Tỷ 119 Triệu,TP HCM,https://bonbanh.com/xe-peugeot-408-premium-1.6-at-2023-5410528," *Xe lắp ráp trong nước, màu đen, máy xăng 1.6 L, số tự động ... ",Mã: 5410528,2023.0,Xe mới,Lắp ráp trong nước,Crossover,Xăng  1.6 L,Đen,Đen,5 chỗ,5 cửa,
Toyota Innova 2.0E - 2018, Xe cũ,495 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-innova-2.0e-2018-5396155," *Xe lắp ráp trong nước, màu bạc, máy xăng 2.0 L, số tay ... ",Mã: 5396155,2018.0,Xe đã dùng,Lắp ráp trong nước,Crossover,Xăng  2.0 L,Bạc,Kem,8 chỗ,5 cửa,0 Km
Peugeot 3008 Allure - 2023, Xe mới,929 Triệu,TP HCM,https://bonbanh.com/xe-peugeot-3008-allure-2023-5410510," *Xe lắp ráp trong nước, màu đen, máy xăng 1.6 L, số tự động ... ",Mã: 5410510,2023.0,Xe mới,Lắp ráp trong nước,Crossover,Xăng  1.6 L,Đen,Đen,5 chỗ,5 cửa,
Toyota Avanza Premio 1.5 AT - 2024, Xe mới,573 Triệu,TP HCM,https://bonbanh.com/xe-toyota-avanza-premio-1.5-at-2024-5396778," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.5 L, số tự động ... ",Mã: 5396778,2024.0,Xe mới,Lắp ráp trong nước,SUV,Xăng  1.5 L,Trắng,Đen,7 chỗ,5 cửa,
Hyundai Getz 1.1 MT - 2009, Xe cũ,108 Triệu,Hà Nội,https://bonbanh.com/xe-hyundai-getz-1.1-mt-2009-5429751," *Xe nhập khẩu, màu bạc, máy xăng 1.1 L, số tay, đã đi 1,600 km ... ",Mã: 5429751,2009.0,Xe đã dùng,Nhập khẩu,Hatchback,Xăng  1.1 L,Bạc,Ghi,5 chỗ,5 cửa,"1,600 Km"
Peugeot 2008 GT Line 1.2 AT - 2023, Xe mới,759 Triệu,TP HCM,https://bonbanh.com/xe-peugeot-2008-gt-line-1.2-at-2023-5226313," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.2 L, số tự động ... ",Mã: 5226313,2023.0,Xe mới,Lắp ráp trong nước,Crossover,Xăng  1.2 L,Trắng,Đen,5 chỗ,5 cửa,
Toyota Camry LE 2.4 - 2008, Xe cũ,318 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-camry-le-2.4-2008-5378559," *Xe nhập khẩu, màu đen, máy xăng 2.4 L, số tự động, đã đi 8,000 km ... ",Mã: 5378559,2008.0,Xe đã dùng,Nhập khẩu,Sedan,Xăng  2.4 L,Đen,Ghi,5 chỗ,4 cửa,"8,000 Km"
Peugeot 5008 GT 1.6 AT - 2023, Xe mới,1 Tỷ 199 Triệu,TP HCM,https://bonbanh.com/xe-peugeot-5008-gt-1.6-at-2023-5184361," *Xe lắp ráp trong nước, màu xám, máy xăng 1.6 L, số tự động ... ",Mã: 5184361,2023.0,Xe mới,Lắp ráp trong nước,SUV,Xăng  1.6 L,Xám,Nâu,7 chỗ,5 cửa,
Mitsubishi Pajero Sport 2.4D 4x4 AT - 2023, Xe mới,1 Tỷ 365 Triệu,TP HCM,https://bonbanh.com/xe-mitsubishi-pajero-sport-2.4d-4x4-at-2023-5278993," *Xe nhập khẩu, màu đen, máy dầu 2.4 L, số tự động ... ",Mã: 5278993,2023.0,Xe mới,Nhập khẩu,SUV,Dầu  2.4 L,Đen,Đen,7 chỗ,5 cửa,
Mitsubishi Xforce Premium - 2024, Xe mới,669 Triệu,Hà Nội,https://bonbanh.com/xe-mitsubishi-xforce-premium-2024-5402851," *Xe nhập khẩu, màu đỏ, máy xăng 1.5 L, số tự động ... ",Mã: 5402851,2024.0,Xe mới,Nhập khẩu,SUV,Xăng  1.5 L,Đỏ,Đen,5 chỗ,5 cửa,
Mitsubishi Pajero Sport 2.4D 4x4 AT - 2021, Xe cũ,990 Triệu,Hà Nội,https://bonbanh.com/xe-mitsubishi-pajero-sport-2.4d-4x4-at-2021-5445029," *Xe nhập khẩu, màu đen, máy dầu 2.4 L, số tự động, đã đi 60,000 km ... ",Mã: 5445029,2021.0,Xe đã dùng,Nhập khẩu,SUV,Dầu  2.4 L,Đen,Đen,7 chỗ,5 cửa,"60,000 Km"
Ford Everest Titanium Plus 2.0L 4x4 AT - 2023, Xe mới,1 Tỷ 482 Triệu,TP HCM,https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2023-2055450," *Xe nhập khẩu, màu đỏ, máy dầu 2.0 L, số tự động ... ",Mã: 2055450,2023.0,Xe mới,Nhập khẩu,SUV,Dầu  2.0 L,Đỏ,Nâu,7 chỗ,5 cửa,
Mitsubishi Outlander Premium 2.0 CVT - 2023, Xe mới,846 Triệu,Hà Nội,https://bonbanh.com/xe-mitsubishi-outlander-premium-2.0-cvt-2023-5115894," *Xe lắp ráp trong nước, màu đỏ, máy xăng 2.0 L, số tự động ... ",Mã: 5115894,2023.0,Xe mới,Lắp ráp trong nước,SUV,Xăng  2.0 L,Đỏ,Đen,7 chỗ,5 cửa,
Mitsubishi Xpander Premium 1.5 AT - 2023, Xe mới,610 Triệu,Hà Nội,https://bonbanh.com/xe-mitsubishi-xpander-premium-1.5-at-2023-5335437," *Xe nhập khẩu, màu trắng, máy xăng 1.5 L, số tự động ... ",Mã: 5335437,2023.0,Xe mới,Nhập khẩu,SUV,Xăng  1.5 L,Trắng,Đen,7 chỗ,5 cửa,
Chevrolet Spark Duo Van 1.2 MT - 2016, Xe cũ,135 Triệu,Hà Nội,https://bonbanh.com/xe-chevrolet-spark-duo-van-1.2-mt-2016-5423373," *Xe lắp ráp trong nước, màu xanh, máy xăng 1.2 L, số tay, đã đi 97,000 km ... ",Mã: 5423373,2016.0,Xe đã dùng,Lắp ráp trong nước,Van/Minivan,Xăng  1.2 L,Xanh,Xám,2 chỗ,5 cửa,"97,000 Km"
Ford EcoSport Titanium 1.5L AT - 2015, Xe cũ,368 Triệu,Hà Nội,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2015-5426713," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.5 L, số tự động, đã đi 80,000 km ... ",Mã: 5426713,2015.0,Xe đã dùng,Lắp ráp trong nước,SUV,Xăng  1.5 L,Trắng,Đen,5 chỗ,5 cửa,"80,000 Km"
Haval H6 HEV - 2023, Xe mới,886 Triệu,TP HCM,https://bonbanh.com/xe-haval-h6-hev-2023-5202865," *Xe nhập khẩu, màu xanh, xe hybrid 1.5 L, số tự động ... ",Mã: 5202865,2023.0,Xe mới,Nhập khẩu,SUV,Hybrid  1.5 L,Xanh,Đen,5 chỗ,5 cửa,
Kia Carens EXMT - 2016, Xe cũ,250 Triệu,Hà Giang,https://bonbanh.com/xe-kia-carens-exmt-2016-5274212," *Xe lắp ráp trong nước, màu nâu, máy xăng 2.0 L, số tay ... ",Mã: 5274212,2016.0,Xe đã dùng,Lắp ráp trong nước,Crossover,Xăng  2.0 L,Nâu,Kem,7 chỗ,5 cửa,0 Km
Toyota Camry 2.0Q - 2024, Xe mới,1 Tỷ 160 Triệu,TP HCM,https://bonbanh.com/xe-toyota-camry-2.0q-2024-4621359," *Xe nhập khẩu, màu đen, máy xăng 2.0 L, số tự động ... ",Mã: 4621359,2024.0,Xe mới,Nhập khẩu,Sedan,Xăng  2.0 L,Đen,Đen,5 chỗ,4 cửa,
Suzuki XL7 1.5 AT - 2023, Xe mới,530 Triệu,TP HCM,https://bonbanh.com/xe-suzuki-xl7-1.5-at-2023-4675374," *Xe nhập khẩu, màu trắng, máy xăng 1.5 L, số tự động ... ",Mã: 4675374,2023.0,Xe mới,Nhập khẩu,SUV,Xăng  1.5 L,Trắng,Đen,7 chỗ,5 cửa,
Toyota Sienna Platinum 2.5 AT - 2021, Xe cũ,4 Tỷ 99 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-sienna-platinum-2.5-at-2021-5222846," *Xe nhập khẩu, màu trắng, xe hybrid 2.5 L, số tự động ... ",Mã: 5222846,2021.0,Xe đã dùng,Nhập khẩu,Van/Minivan,Hybrid  2.5 L,Trắng,-,7 chỗ,5 cửa,0 Km
Honda City RS 1.5 AT - 2023, Xe mới,559 Triệu,Hà Nội,https://bonbanh.com/xe-honda-city-rs-1.5-at-2023-5144823," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.5 L, số tự động ... ",Mã: 5144823,2023.0,Xe mới,Lắp ráp trong nước,Sedan,Xăng  1.5 L,Trắng,Đen,5 chỗ,4 cửa,
Mercedes Benz S class S400L - 2015, Xe cũ,1 Tỷ 350 Triệu,TP HCM,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2015-5442207," *Xe lắp ráp trong nước, màu trắng, máy xăng 3.0 L, số tự động, đã đi 80,000 km ... ",Mã: 5442207,2015.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  3.0 L,Trắng,-,5 chỗ,4 cửa,"80,000 Km"
Toyota Fortuner 2.7V 4x4 AT - 2013, Xe cũ,450 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x4-at-2013-5129273," *Xe lắp ráp trong nước, màu bạc, máy xăng 2.7 L, số tự động, đã đi 9,000 km ... ",Mã: 5129273,2013.0,Xe đã dùng,Lắp ráp trong nước,SUV,Xăng  2.7 L,Bạc,Kem,7 chỗ,5 cửa,"9,000 Km"
Hyundai SantaFe 2.4L 4WD - 2018, Xe cũ,739 Triệu,Hà Nội,https://bonbanh.com/xe-hyundai-santafe-2.4l-4wd-2018-5434834," *Xe lắp ráp trong nước, màu cát, máy xăng 2.4 L, số tự động, đã đi 60,000 km ... ",Mã: 5434834,2018.0,Xe đã dùng,Lắp ráp trong nước,SUV,Xăng  2.4 L,Cát,Kem,7 chỗ,5 cửa,"60,000 Km"
Kia Morning GT-Line - 2022, Xe cũ,395 Triệu,Hà Nội,https://bonbanh.com/xe-kia-morning-gt-line-2022-5445001," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.25 L, số tự động, đã đi 17,000 km ... ",Mã: 5445001,2022.0,Xe đã dùng,Lắp ráp trong nước,Hatchback,Xăng  1.25 L,Trắng,Nhiều màu,5 chỗ,5 cửa,"17,000 Km"
Lexus RX 350 AWD - 2014, Xe cũ,1 Tỷ 399 Triệu,Hà Nội,https://bonbanh.com/xe-lexus-rx-350-awd-2014-5329851," *Xe nhập khẩu, màu đỏ, máy xăng 3.5 L, số tự động, đã đi 77,000 km ... ",Mã: 5329851,2014.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  3.5 L,Đỏ,Kem,5 chỗ,5 cửa,"77,000 Km"
BMW 5 Series 528i GT - 2016, Xe cũ,979 Triệu,Hà Nội,https://bonbanh.com/xe-bmw-5_series-528i-gt-2016-5349661," *Xe nhập khẩu, màu ghi, máy xăng 2.0 L, số tự động, đã đi 80,000 km ... ",Mã: 5349661,2016.0,Xe đã dùng,Nhập khẩu,Sedan,Xăng  2.0 L,Ghi,Kem,5 chỗ,4 cửa,"80,000 Km"
Toyota Wigo G 1.2 AT - 2023, Xe mới,390 Triệu,TP HCM,https://bonbanh.com/xe-toyota-wigo-g-1.2-at-2023-5091491," *Xe nhập khẩu, màu trắng, máy xăng 1.2 L, số tự động ... ",Mã: 5091491,2023.0,Xe mới,Nhập khẩu,Hatchback,Xăng  1.2 L,Trắng,Đen,5 chỗ,5 cửa,
Mercedes Benz E class E250 - 2011, Xe cũ,360 Triệu,Hà Nội,https://bonbanh.com/xe-mercedes_benz-e_class-e250-2011-5435177," *Xe lắp ráp trong nước, màu đen, máy xăng 1.8 L, số tự động, đã đi 860,000 km ... ",Mã: 5435177,2011.0,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  1.8 L,Đen,Kem,5 chỗ,4 cửa,"860,000 Km"
Toyota Land Cruiser 3.5 V6 - 2022, Xe cũ,4 Tỷ 850 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2022-5430206," *Xe nhập khẩu, màu trắng, máy xăng 3.4 L, số tự động, đã đi 9,000 km ... ",Mã: 5430206,2022.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  3.4 L,Trắng,Kem,7 chỗ,5 cửa,"9,000 Km"
Lexus RX 350 AWD - 2014, Xe cũ,1 Tỷ 380 Triệu,Hà Nội,https://bonbanh.com/xe-lexus-rx-350-awd-2014-5326944," *Xe nhập khẩu, màu đỏ, máy xăng 3.5 L, số tự động, đã đi 73,000 km ... ",Mã: 5326944,2014.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  3.5 L,Đỏ,Kem,5 chỗ,5 cửa,"73,000 Km"
Toyota Fortuner 2.4G 4x2 MT - 2016, Xe cũ,670 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-mt-2016-5423279," *Xe nhập khẩu, màu trắng, máy dầu 2.4 L, số tay, đã đi 72,000 km ... ",Mã: 5423279,2016.0,Xe đã dùng,Nhập khẩu,SUV,Dầu  2.4 L,Trắng,Nâu,7 chỗ,5 cửa,"72,000 Km"
Toyota Highlander Limited Hybrid 2.5 AWD - 2020, Xe cũ,3 Tỷ 499 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-highlander-limited-hybrid-2.5-awd-2020-5339849," *Xe nhập khẩu, màu bạc, xe hybrid 2.5 L, số tự động ... ",Mã: 5339849,2020.0,Xe đã dùng,Nhập khẩu,SUV,Hybrid  2.5 L,Bạc,Kem,7 chỗ,5 cửa,0 Km
Porsche Macan 2.0 - 2022, Xe cũ,3 Tỷ 450 Triệu,Hà Nội,https://bonbanh.com/xe-porsche-macan-2.0-2022-5436591," *Xe nhập khẩu, màu trắng, máy xăng 2.0 L, số tự động, đã đi 8,000 km ... ",Mã: 5436591,2022.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  2.0 L,Trắng,Kem,5 chỗ,5 cửa,"8,000 Km"
Lexus LX 570 Super Sport - 2015, Xe cũ,3 Tỷ 450 Triệu,Hà Nội,https://bonbanh.com/xe-lexus-lx-570-super-sport-2015-5437132," *Xe nhập khẩu, màu vàng, máy xăng 5.7 L, số tự động ... ",Mã: 5437132,2015.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  5.7 L,Vàng,Kem,7 chỗ,5 cửa,0 Km
Toyota Sienna Platinum 2.5 AT AWD - 2021, Xe cũ,3 Tỷ 990 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-sienna-platinum-2.5-at-awd-2021-5377361," *Xe nhập khẩu, màu đen, xe hybrid 2.5 L, số tự động, đã đi 21,000 km ... ",Mã: 5377361,2021.0,Xe đã dùng,Nhập khẩu,Van/Minivan,Hybrid  2.5 L,Đen,Nâu,7 chỗ,5 cửa,"21,000 Km"
Porsche Cayenne 3.6 V6 - 2015, Xe cũ,1 Tỷ 870 Triệu,Hà Nội,https://bonbanh.com/xe-porsche-cayenne-3.6-v6-2015-5398242," *Xe nhập khẩu, màu xanh, máy xăng 3.6 L, số tự động ... ",Mã: 5398242,2015.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  3.6 L,Xanh,Vàng,5 chỗ,5 cửa,0 Km
Porsche Macan 2.0 - 2019, Xe cũ,2 Tỷ 399 Triệu,Hà Nội,https://bonbanh.com/xe-porsche-macan-2.0-2019-5326946," *Xe nhập khẩu, màu xanh, máy xăng 2.0 L, số tự động, đã đi 52,000 km ... ",Mã: 5326946,2019.0,Xe đã dùng,Nhập khẩu,SUV,Xăng  2.0 L,Xanh,Kem,5 chỗ,5 cửa,"52,000 Km"
