Name,Condition,Price,Location,Link,Description,Car_code,Năm sản xuất:,Tình trạng:,Số Km đã đi:,Xuất xứ:,Kiểu dáng:,Động cơ:,Màu ngoại thất:,Màu nội thất:,Số chỗ ngồi:,Số cửa:
Mercedes Benz GLC 300 4Matic - 2022, Xe cũ,1 Tỷ 995 Triệu,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-5439086," *Xe lắp ráp trong nước, màu trắng, máy xăng 2.0 L, số tự động, đã đi 30,000 km ... ",Mã: 5439086,2022.0,Xe đã dùng,"30,000 Km",Lắp ráp trong nước,SUV,Xăng  2.0 L,Trắng,Đen,5 chỗ,5 cửa
Mazda 3 1.5L Deluxe - 2021, Xe cũ,555 Triệu,Hà Nội,https://bonbanh.com/xe-mazda-3-1.5l-deluxe-2021-5417978," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.5 L, số tự động, đã đi 41,000 km ... ",Mã: 5417978,2021.0,Xe đã dùng,"41,000 Km",Lắp ráp trong nước,Sedan,Xăng  1.5 L,Trắng,Đen,5 chỗ,4 cửa
Mercedes Benz C class C300 AMG - 2022, Xe cũ,1 Tỷ 748 Triệu,TP HCM,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2022-5413649," *Xe lắp ráp trong nước, màu đỏ, máy xăng 2.0 L, số tự động, đã đi 17,000 km ... ",Mã: 5413649,2022.0,Xe đã dùng,"17,000 Km",Lắp ráp trong nước,Sedan,Xăng  2.0 L,Đỏ,Nhiều màu,5 chỗ,4 cửa
Hyundai Tucson 1.6 AT Turbo - 2018, Xe cũ,670 Triệu,Hà Nội,https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-2018-5411586," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.6 L, số tự động, đã đi 50,000 km ... ",Mã: 5411586,2018.0,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,Crossover,Xăng  1.6 L,Trắng,Kem,5 chỗ,5 cửa
Mazda CX5 Premium Exclusive 2.0 AT - 2023, Xe mới,879 Triệu,Hà Nội,https://bonbanh.com/xe-mazda-cx5-premium-exclusive-2.0-at-2023-5387828," *Xe lắp ráp trong nước, màu xanh, máy xăng 2.0 L, số tự động ... ",Mã: 5387828,2023.0,Xe mới,,Lắp ráp trong nước,SUV,Xăng  2.0 L,Xanh,Đen,5 chỗ,5 cửa
Mazda 3 1.5L Premium - 2023, Xe mới,729 Triệu,TP HCM,https://bonbanh.com/xe-mazda-3-1.5l-premium-2023-5207878," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.5 L, số tự động ... ",Mã: 5207878,2023.0,Xe mới,,Lắp ráp trong nước,Sedan,Xăng  1.5 L,Trắng,Đen,5 chỗ,4 cửa
Mitsubishi Xpander Cross 1.5 AT - 2023, Xe cũ,695 Triệu,Hà Nội,https://bonbanh.com/xe-mitsubishi-xpander-cross-1.5-at-2023-5336673," *Xe nhập khẩu, màu trắng, máy xăng 1.5 L, số tự động, đã đi 6,000 km ... ",Mã: 5336673,2023.0,Xe đã dùng,"6,000 Km",Nhập khẩu,SUV,Xăng  1.5 L,Trắng,Đen,7 chỗ,5 cửa
Mercedes Benz C class C200 Avantgarde - 2023, Xe cũ,1 Tỷ 470 Triệu,Hà Nội,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-2023-5267824," *Xe lắp ráp trong nước, màu xanh, máy xăng 1.5 L, số tự động, đã đi 19 km ... ",Mã: 5267824,2023.0,Xe đã dùng,19 Km,Lắp ráp trong nước,Sedan,Xăng  1.5 L,Xanh,Đen,5 chỗ,4 cửa
Ford Focus Titanium 2.0 AT - 2014, Xe cũ,330 Triệu,Hà Nội,https://bonbanh.com/xe-ford-focus-titanium-2.0-at-2014-5330307," *Xe lắp ráp trong nước, màu nâu, máy xăng 2.0 L, số tự động, đã đi 130,000 km ... ",Mã: 5330307,2014.0,Xe đã dùng,"130,000 Km",Lắp ráp trong nước,Sedan,Xăng  2.0 L,Nâu,Kem,5 chỗ,4 cửa
Honda City RS 1.5 AT - 2021, Xe cũ,510 Triệu,Hà Nội,https://bonbanh.com/xe-honda-city-rs-1.5-at-2021-5405864," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.5 L, số tự động, đã đi 67,868 km ... ",Mã: 5405864,2021.0,Xe đã dùng,"67,868 Km",Lắp ráp trong nước,Sedan,Xăng  1.5 L,Trắng,Đen,5 chỗ,4 cửa
LandRover Discovery Sport HSE Luxury - 2015, Xe cũ,990 Triệu,Hà Nội,https://bonbanh.com/xe-landrover-discovery_sport-hse-luxury-2015-5371137," *Xe nhập khẩu, màu trắng, máy xăng 2.0 L, số tự động, đã đi 64,000 km ... ",Mã: 5371137,2015.0,Xe đã dùng,"64,000 Km",Nhập khẩu,SUV,Xăng  2.0 L,Trắng,Nâu,7 chỗ,5 cửa
Mazda 3 1.5 AT - 2017, Xe cũ,415 Triệu,Đăk Lăk,https://bonbanh.com/xe-mazda-3-1.5-at-2017-5434165," *Xe lắp ráp trong nước, màu đỏ, máy xăng 1.5 L, số tự động, đã đi 100,000 km ... ",Mã: 5434165,2017.0,Xe đã dùng,"100,000 Km",Lắp ráp trong nước,Sedan,Xăng  1.5 L,Đỏ,Đen,5 chỗ,4 cửa
Lexus LX 600 Urban - 2023, Xe mới,8 Tỷ 500 Triệu,Hà Nội,https://bonbanh.com/xe-lexus-lx-600-urban-2023-5250406," *Xe nhập khẩu, màu xám, máy xăng 3.4 L, số tự động ... ",Mã: 5250406,2023.0,Xe mới,,Nhập khẩu,SUV,Xăng  3.4 L,Xám,Nâu,7 chỗ,5 cửa
Kia Sedona 3.3L GATH - 2015, Xe cũ,650 Triệu,TP HCM,https://bonbanh.com/xe-kia-sedona-3.3l-gath-2015-5438139," *Xe nhập khẩu, màu đỏ, máy xăng 3.3 L, số tự động, đã đi 90,000 km ... ",Mã: 5438139,2015.0,Xe đã dùng,"90,000 Km",Nhập khẩu,Van/Minivan,Xăng  3.3 L,Đỏ,Kem,7 chỗ,5 cửa
Mercedes Benz S class S450L Luxury - 2020, Xe cũ,2 Tỷ 820 Triệu,Hà Nội,https://bonbanh.com/xe-mercedes_benz-s_class-s450l-luxury-2020-5437675," *Xe lắp ráp trong nước, màu trắng, máy xăng 3.0 L, số tự động, đã đi 49,000 km ... ",Mã: 5437675,2020.0,Xe đã dùng,"49,000 Km",Lắp ráp trong nước,Sedan,Xăng  3.0 L,Trắng,Kem,5 chỗ,4 cửa
JRD - 2008, Xe cũ,39 Triệu,Bình Dương,https://bonbanh.com/xe-jrd-khac--2008-5405675," *Xe lắp ráp trong nước, màu xanh, máy xăng , số tay, đã đi 7,896 km ... ",Mã: 5405675,2008.0,Xe đã dùng,"7,896 Km",Lắp ráp trong nước,Truck,Xăng,Xanh,Đen,2 chỗ,2 cửa
Honda Odyssey 2.4 AT - 2016, Xe cũ,1 Tỷ 3 Triệu,Hà Nội,https://bonbanh.com/xe-honda-odyssey-2.4-at-2016-5328559," *Xe nhập khẩu, màu trắng, máy xăng 2.4 L, số tự động ... ",Mã: 5328559,2016.0,Xe đã dùng,0 Km,Nhập khẩu,Van/Minivan,Xăng  2.4 L,Trắng,Đen,8 chỗ,5 cửa
Mitsubishi Triton 4x2 AT Mivec - 2020, Xe cũ,489 Triệu,Bắc Ninh,https://bonbanh.com/xe-mitsubishi-triton-4x2-at-mivec-2020-5415633," *Xe nhập khẩu, màu đen, máy dầu 2.4 L, số tự động, đã đi 65,000 km ... ",Mã: 5415633,2020.0,Xe đã dùng,"65,000 Km",Nhập khẩu,Bán tải / Pickup,Dầu  2.4 L,Đen,Đen,5 chỗ,4 cửa
BMW 5 Series 520i M Sport - 2023, Xe mới,2 Tỷ 339 Triệu,Hà Nội,https://bonbanh.com/xe-bmw-5_series-520i-m-sport-2023-5192199," *Xe lắp ráp trong nước, màu xanh, máy xăng 2.0 L, số tự động ... ",Mã: 5192199,2023.0,Xe mới,,Lắp ráp trong nước,Sedan,Xăng  2.0 L,Xanh,Đen,5 chỗ,4 cửa
Peugeot 5008 1.6 AT - 2019, Xe cũ,760 Triệu,Hà Nội,https://bonbanh.com/xe-peugeot-5008-1.6-at-2019-5439802," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.6 L, số tự động, đã đi 18,000 km ... ",Mã: 5439802,2019.0,Xe đã dùng,"18,000 Km",Lắp ráp trong nước,SUV,Xăng  1.6 L,Trắng,Đen,7 chỗ,5 cửa
VinFast VF8 - 2024, Xe mới,1 Tỷ 192 Triệu,Hà Nội,https://bonbanh.com/xe-vinfast-vf8--2024-5409180," *Xe lắp ráp trong nước, màu đỏ, xe điện , số tự động ... ",Mã: 5409180,2024.0,Xe mới,,Lắp ráp trong nước,SUV,Điện  0.2 L,Đỏ,Nâu,5 chỗ,5 cửa
Ford Territory Titanium X 1.5 AT - 2023, Xe mới,855 Triệu,Hà Nội,https://bonbanh.com/xe-ford-territory-titanium-x-1.5-at-2023-5156281," *Xe lắp ráp trong nước, màu đen, máy xăng 1.5 L, số tự động ... ",Mã: 5156281,2023.0,Xe mới,,Lắp ráp trong nước,SUV,Xăng  1.5 L,Đen,Xanh,5 chỗ,5 cửa
MG 5 Standard 1.5 AT - 2022, Xe cũ,435 Triệu,Hà Nội,https://bonbanh.com/xe-mg-5-standard-1.5-at-2022-5436219," *Xe nhập khẩu, màu trắng, máy xăng 1.5 L, số tự động, đã đi 20,000 km ... ",Mã: 5436219,2022.0,Xe đã dùng,"20,000 Km",Nhập khẩu,Sedan,Xăng  1.5 L,Trắng,Đen,5 chỗ,4 cửa
Ford Ranger XLS 2.0L 4x2 AT - 2024, Xe mới,652 Triệu,Hà Nội,https://bonbanh.com/xe-ford-ranger-xls-2.0l-4x2-at-2024-5421063," *Xe lắp ráp trong nước, màu trắng, máy dầu 2.0 L, số tự động ... ",Mã: 5421063,2024.0,Xe mới,,Lắp ráp trong nước,Bán tải / Pickup,Dầu  2.0 L,Trắng,Đen,5 chỗ,4 cửa
VinFast Lux A 2.0 Premium 2.0 AT - 2019, Xe cũ,630 Triệu,Hà Nội,https://bonbanh.com/xe-vinfast-lux_a_2.0-premium-2.0-at-2019-5436571," *Xe lắp ráp trong nước, màu đen, máy xăng 2.0 L, số tự động, đã đi 52,000 km ... ",Mã: 5436571,2019.0,Xe đã dùng,"52,000 Km",Lắp ráp trong nước,Sedan,Xăng  2.0 L,Đen,Nâu,5 chỗ,4 cửa
Chevrolet Spark LT 1.2 MT - 2018, Xe cũ,192 Triệu,Đồng Nai,https://bonbanh.com/xe-chevrolet-spark-lt-1.2-mt-2018-5439968," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.2 L, số tay, đã đi 98,500 km ... ",Mã: 5439968,2018.0,Xe đã dùng,"98,500 Km",Lắp ráp trong nước,Hatchback,Xăng  1.2 L,Trắng,Xám,5 chỗ,5 cửa
Honda CRV 2.4 AT - 2012, Xe cũ,390 Triệu,Hà Nội,https://bonbanh.com/xe-honda-crv-2.4-at-2012-5416312," *Xe lắp ráp trong nước, màu xám, máy xăng 2.4 L, số tự động, đã đi 110,000 km ... ",Mã: 5416312,2012.0,Xe đã dùng,"110,000 Km",Lắp ráp trong nước,SUV,Xăng  2.4 L,Xám,Đen,5 chỗ,5 cửa
Ford Focus Titanium 2.0 AT - 2015, Xe cũ,330 Triệu,Hà Nội,https://bonbanh.com/xe-ford-focus-titanium-2.0-at-2015-5301013," *Xe lắp ráp trong nước, màu ghi, máy xăng 2.0 L, số tự động, đã đi 84,000 km ... ",Mã: 5301013,2015.0,Xe đã dùng,"84,000 Km",Lắp ráp trong nước,Sedan,Xăng  2.0 L,Ghi,Kem,5 chỗ,4 cửa
Toyota Innova E 2.0 MT - 2021, Xe cũ,630 Triệu,TP HCM,https://bonbanh.com/xe-toyota-innova-e-2.0-mt-2021-5396184," *Xe lắp ráp trong nước, màu đồng, máy xăng 2.0 L, số tay, đã đi 96,564 km ... ",Mã: 5396184,2021.0,Xe đã dùng,"96,564 Km",Lắp ráp trong nước,Crossover,Xăng  2.0 L,Đồng,Nâu,8 chỗ,5 cửa
Fiat Doblo 1.6 - 2004, Xe cũ,89 Triệu,Hải Phòng,https://bonbanh.com/xe-fiat-doblo-1.6-2004-5416077," *Xe lắp ráp trong nước, màu bạc, máy xăng 1.6 L, số tay, đã đi 990,000 km ... ",Mã: 5416077,2004.0,Xe đã dùng,"990,000 Km",Lắp ráp trong nước,Van/Minivan,Xăng  1.6 L,Bạc,Đen,7 chỗ,5 cửa
Mitsubishi Xpander 1.5 AT - 2021, Xe cũ,549 Triệu,Đồng Nai,https://bonbanh.com/xe-mitsubishi-xpander-1.5-at-2021-5422842," *Xe nhập khẩu, màu nâu, máy xăng 1.5 L, số tự động, đã đi 9,565 km ... ",Mã: 5422842,2021.0,Xe đã dùng,"9,565 Km",Nhập khẩu,SUV,Xăng  1.5 L,Nâu,Đen,7 chỗ,5 cửa
Mercedes Benz V class V250 Avantgarde - 2016, Xe cũ,1 Tỷ 780 Triệu,Hà Nội,https://bonbanh.com/xe-mercedes_benz-v_class-v250-avantgarde-2016-5408493," *Xe nhập khẩu, màu nâu, máy xăng 2.0 L, số tự động, đã đi 60,000 km ... ",Mã: 5408493,2016.0,Xe đã dùng,"60,000 Km",Nhập khẩu,Van/Minivan,Xăng  2.0 L,Nâu,Xanh,7 chỗ,5 cửa
Hyundai Elantra 2.0 AT - 2020, Xe cũ,520 Triệu,Long An,https://bonbanh.com/xe-hyundai-elantra-2.0-at-2020-5423285," *Xe lắp ráp trong nước, màu trắng, máy xăng 2.0 L, số tự động, đã đi 29,000 km ... ",Mã: 5423285,2020.0,Xe đã dùng,"29,000 Km",Lắp ráp trong nước,Sedan,Xăng  2.0 L,Trắng,Kem,5 chỗ,4 cửa
VinFast VF8 Plus - 2023, Xe mới,1 Tỷ 270 Triệu,Hà Nội,https://bonbanh.com/xe-vinfast-vf8-plus-2023-4496643," *Xe lắp ráp trong nước, màu trắng, xe điện , số tự động ... ",Mã: 4496643,2023.0,Xe mới,,Lắp ráp trong nước,SUV,Điện  0.2 L,Trắng,Đen,5 chỗ,5 cửa
Ford Transit Luxury - 2018, Xe cũ,540 Triệu,TP HCM,https://bonbanh.com/xe-ford-transit-luxury-2018-5407335," *Xe lắp ráp trong nước, màu trắng, máy dầu 2.4 L, số tay, đã đi 154,226 km ... ",Mã: 5407335,2018.0,Xe đã dùng,"154,226 Km",Lắp ráp trong nước,Van/Minivan,Dầu  2.4 L,Trắng,Kem,16 chỗ,4 cửa
BMW 7 Series 730Li - 2020, Xe cũ,3 Tỷ 299 Triệu,TP HCM,https://bonbanh.com/xe-bmw-7_series-730li-2020-5322888," *Xe nhập khẩu, màu đen, máy xăng 2.0 L, số tự động, đã đi 26,000 km ... ",Mã: 5322888,2020.0,Xe đã dùng,"26,000 Km",Nhập khẩu,Sedan,Xăng  2.0 L,Đen,Kem,5 chỗ,4 cửa
Kia Morning X-Line - 2021, Xe cũ,365 Triệu,Hải Dương,https://bonbanh.com/xe-kia-morning-x-line-2021-5369510," *Xe lắp ráp trong nước, màu đỏ, máy xăng 1.25 L, số tự động, đã đi 365 km ... ",Mã: 5369510,2021.0,Xe đã dùng,365 Km,Lắp ráp trong nước,Hatchback,Xăng  1.25 L,Đỏ,Đen,5 chỗ,5 cửa
Hyundai SantaFe Cao cấp 2.5L HTRAC - 2023, Xe mới,1 Tỷ 125 Triệu,Hà Nội,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.5l-htrac-2023-5031977," *Xe lắp ráp trong nước, màu trắng, máy xăng 2.5 L, số tự động ... ",Mã: 5031977,2023.0,Xe mới,,Lắp ráp trong nước,SUV,Xăng  2.5 L,Trắng,Nâu,7 chỗ,5 cửa
Subaru Forester 2.0i-L - 2023, Xe mới,799 Triệu,Hà Nội,https://bonbanh.com/xe-subaru-forester-2.0i-l-2023-4995918," *Xe nhập khẩu, màu xanh, máy xăng 2.0 L, số tự động ... ",Mã: 4995918,2023.0,Xe mới,,Nhập khẩu,SUV,Xăng  2.0 L,Xanh,Đen,5 chỗ,5 cửa
Ford Everest Titanium 2.0L 4x4 AT - 2020, Xe cũ,900 Triệu,Quảng Ninh,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x4-at-2020-5379917," *Xe nhập khẩu, màu cát, máy dầu 2.0 L, số tự động, đã đi 50,000 km ... ",Mã: 5379917,2020.0,Xe đã dùng,"50,000 Km",Nhập khẩu,SUV,Dầu  2.0 L,Cát,Đen,7 chỗ,5 cửa
Volkswagen T-Cross Elegance 1.0 AT - 2023, Xe mới,989 Triệu,TP HCM,https://bonbanh.com/xe-volkswagen-t-cross-elegance-1.0-at-2023-5328926," *Xe nhập khẩu, màu đỏ, máy xăng 1.0 L, số tự động ... ",Mã: 5328926,2023.0,Xe mới,,Nhập khẩu,Crossover,Xăng  1.0 L,Đỏ,Đỏ,5 chỗ,5 cửa
Kia K3 Luxury 1.6 AT - 2022, Xe cũ,580 Triệu,Hà Nội,https://bonbanh.com/xe-kia-k3-luxury-1.6-at-2022-5438114," *Xe lắp ráp trong nước, màu đỏ, máy xăng 1.6 L, số tự động, đã đi 48,000 km ... ",Mã: 5438114,2022.0,Xe đã dùng,"48,000 Km",Lắp ráp trong nước,Sedan,Xăng  1.6 L,Đỏ,Đen,5 chỗ,4 cửa
Toyota Yaris 1.5G - 2020, Xe cũ,540 Triệu,TP HCM,https://bonbanh.com/xe-toyota-yaris-1.5g-2020-5425113," *Xe nhập khẩu, màu trắng, máy xăng 1.5 L, số tự động, đã đi 35,900 km ... ",Mã: 5425113,2020.0,Xe đã dùng,"35,900 Km",Nhập khẩu,Hatchback,Xăng  1.5 L,Trắng,Kem,5 chỗ,5 cửa
Honda City RS 1.5 AT - 2021, Xe cũ,515 Triệu,Hà Nội,https://bonbanh.com/xe-honda-city-rs-1.5-at-2021-5398781," *Xe lắp ráp trong nước, màu xanh, máy xăng 1.5 L, số tự động, đã đi 43,000 km ... ",Mã: 5398781,2021.0,Xe đã dùng,"43,000 Km",Lắp ráp trong nước,Sedan,Xăng  1.5 L,Xanh,Đen,5 chỗ,4 cửa
Honda CRV L - 2021, Xe cũ,870 Triệu,Hà Nội,https://bonbanh.com/xe-honda-crv-l-2021-5390195," *Xe lắp ráp trong nước, màu đỏ, máy xăng 1.5 L, số tự động ... ",Mã: 5390195,2021.0,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Xăng  1.5 L,Đỏ,Đen,7 chỗ,5 cửa
Kia Morning Si AT - 2017, Xe cũ,270 Triệu,Hà Nội,https://bonbanh.com/xe-kia-morning-si-at-2017-5444683," *Xe lắp ráp trong nước, màu xanh, máy xăng 1.25 L, số tự động, đã đi 80,000 km ... ",Mã: 5444683,2017.0,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,Hatchback,Xăng  1.25 L,Xanh,Ghi,5 chỗ,5 cửa
Ford Transit Tiêu chuẩn - 2023, Xe mới,849 Triệu,TP HCM,https://bonbanh.com/xe-ford-transit-tieu-chuan-2023-4161729," *Xe lắp ráp trong nước, màu trắng, máy dầu 2.2 L, số tay ... ",Mã: 4161729,2023.0,Xe mới,,Lắp ráp trong nước,Van/Minivan,Dầu  2.2 L,Trắng,Nhiều màu,16 chỗ,4 cửa
Toyota Innova E 2.0 MT - 2023, Xe mới,715 Triệu,Bắc Ninh,https://bonbanh.com/xe-toyota-innova-e-2.0-mt-2023-5088856," *Xe lắp ráp trong nước, màu trắng, máy xăng 2.0 L, số tay ... ",Mã: 5088856,2023.0,Xe mới,,Lắp ráp trong nước,Crossover,Xăng  2.0 L,Trắng,Nâu,8 chỗ,5 cửa
Mercedes Benz GLC 300 4Matic - 2021, Xe cũ,1 Tỷ 918 Triệu,TP HCM,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-5451626," *Xe lắp ráp trong nước, màu đen, máy xăng 2.0 L, số tự động, đã đi 15,000 km ... ",Mã: 5451626,2021.0,Xe đã dùng,"15,000 Km",Lắp ráp trong nước,SUV,Xăng  2.0 L,Đen,Đen,5 chỗ,5 cửa
BMW X7 xDrive40i M Sport - 2023, Xe mới,5 Tỷ 549 Triệu,Hà Nội,https://bonbanh.com/xe-bmw-x7-xdrive40i-m-sport-2023-5236715," *Xe nhập khẩu, màu xanh, máy xăng 3.0 L, số tự động ... ",Mã: 5236715,2023.0,Xe mới,,Nhập khẩu,SUV,Xăng  3.0 L,Xanh,Nâu,7 chỗ,5 cửa
Ford Escape XLS 2.3L 4x2 AT - 2011, Xe cũ,255 Triệu,Hà Nội,https://bonbanh.com/xe-ford-escape-xls-2.3l-4x2-at-2011-5321260," *Xe lắp ráp trong nước, màu bạc, máy xăng 2.3 L, số tự động, đã đi 150,000 km ... ",Mã: 5321260,2011.0,Xe đã dùng,"150,000 Km",Lắp ráp trong nước,SUV,Xăng  2.3 L,Bạc,Đen,5 chỗ,5 cửa
Lexus RX 350L - 2022, Xe cũ,3 Tỷ 790 Triệu,Hà Nội,https://bonbanh.com/xe-lexus-rx-350l-2022-5355085," *Xe nhập khẩu, màu trắng, máy xăng 3.5 L, số tự động, đã đi 20,000 km ... ",Mã: 5355085,2022.0,Xe đã dùng,"20,000 Km",Nhập khẩu,SUV,Xăng  3.5 L,Trắng,Nâu,7 chỗ,5 cửa
Peugeot 5008 1.6 AT - 2018, Xe cũ,695 Triệu,Hà Nội,https://bonbanh.com/xe-peugeot-5008-1.6-at-2018-5442244," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.6 L, số tự động, đã đi 70,000 km ... ",Mã: 5442244,2018.0,Xe đã dùng,"70,000 Km",Lắp ráp trong nước,SUV,Xăng  1.6 L,Trắng,Đen,7 chỗ,5 cửa
Porsche Macan 2.0 - 2020, Xe cũ,2 Tỷ 899 Triệu,Hà Nội,https://bonbanh.com/xe-porsche-macan-2.0-2020-5258793," *Xe nhập khẩu, màu xanh, máy xăng 2.0 L, số tự động, đã đi 25,000 km ... ",Mã: 5258793,2020.0,Xe đã dùng,"25,000 Km",Nhập khẩu,SUV,Xăng  2.0 L,Xanh,Đen,5 chỗ,5 cửa
MG ZS Standard 1.5 AT 2WD - 2020, Xe cũ,430 Triệu,Hà Nội,https://bonbanh.com/xe-mg-zs-standard-1.5-at-2wd-2020-5448031," *Xe nhập khẩu, màu trắng, máy xăng 1.5 L, số tự động, đã đi 38,000 km ... ",Mã: 5448031,2020.0,Xe đã dùng,"38,000 Km",Nhập khẩu,Crossover,Xăng  1.5 L,Trắng,Đen,5 chỗ,5 cửa
LandRover Range Rover HSE 3.0 - 2013, Xe cũ,1 Tỷ 899 Triệu,TP HCM,https://bonbanh.com/xe-landrover-range_rover-hse-3.0-2013-5432814," *Xe nhập khẩu, màu trắng, máy xăng 3.0 L, số tự động, đã đi 50,000 km ... ",Mã: 5432814,2013.0,Xe đã dùng,"50,000 Km",Nhập khẩu,SUV,Xăng  3.0 L,Trắng,Nâu,5 chỗ,5 cửa
Hyundai Tucson 2.0 AT Tiêu chuẩn - 2023, Xe mới,744 Triệu,Hà Nội,https://bonbanh.com/xe-hyundai-tucson-2.0-at-tieu-chuan-2023-5234334," *Xe lắp ráp trong nước, màu đen, máy xăng 2.0 L, số tự động ... ",Mã: 5234334,2023.0,Xe mới,,Lắp ráp trong nước,Crossover,Xăng  2.0 L,Đen,Đen,5 chỗ,5 cửa
Toyota Avanza Premio 1.5 AT - 2023, Xe mới,548 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-avanza-premio-1.5-at-2023-4996700," *Xe lắp ráp trong nước, màu bạc, máy xăng 1.5 L, số tự động ... ",Mã: 4996700,2023.0,Xe mới,,Lắp ráp trong nước,SUV,Xăng  1.5 L,Bạc,Đen,7 chỗ,5 cửa
Toyota Vios 1.5E - 2017, Xe cũ,305 Triệu,Hà Nội,https://bonbanh.com/xe-toyota-vios-1.5e-2017-5397767," *Xe lắp ráp trong nước, màu trắng, máy xăng 1.5 L, số tay, đã đi 85,000 km ... ",Mã: 5397767,2017.0,Xe đã dùng,"85,000 Km",Lắp ráp trong nước,Sedan,Xăng  1.5 L,Trắng,Nhiều màu,5 chỗ,4 cửa
Kia Morning EX - 2016, Xe cũ,179 Triệu,Bắc Ninh,https://bonbanh.com/xe-kia-morning-ex-2016-5385837," *Xe lắp ráp trong nước, màu cát, máy xăng 1.25 L, số tay ... ",Mã: 5385837,2016.0,Xe đã dùng,0 Km,Lắp ráp trong nước,Hatchback,Xăng  1.25 L,Cát,Ghi,5 chỗ,5 cửa
Lexus IS 250 - 2006, Xe cũ,420 Triệu,TP HCM,https://bonbanh.com/xe-lexus-is-250-2006-5276991," *Xe nhập khẩu, màu đen, máy xăng 2.5 L, số tự động ... ",Mã: 5276991,2006.0,Xe đã dùng,0 Km,Nhập khẩu,Sedan,Xăng  2.5 L,Đen,Kem,5 chỗ,4 cửa
BMW 3 Series 320i - 2014, Xe cũ,486 Triệu,Bình Dương,https://bonbanh.com/xe-bmw-3_series-320i-2014-5183523," *Xe nhập khẩu, màu nâu, máy xăng 2.0 L, số tự động, đã đi 86,000 km ... ",Mã: 5183523,2014.0,Xe đã dùng,"86,000 Km",Nhập khẩu,Sedan,Xăng  2.0 L,Nâu,Đen,5 chỗ,4 cửa
Mitsubishi Xpander Cross 1.5 AT - 2021, Xe cũ,562 Triệu,Hà Nội,https://bonbanh.com/xe-mitsubishi-xpander-cross-1.5-at-2021-5389347," *Xe nhập khẩu, màu bạc, máy xăng 1.5 L, số tự động, đã đi 45,000 km ... ",Mã: 5389347,2021.0,Xe đã dùng,"45,000 Km",Nhập khẩu,SUV,Xăng  1.5 L,Bạc,Nâu,7 chỗ,5 cửa
Toyota Innova 2.0E - 2018, Xe cũ,520 Triệu,TP HCM,https://bonbanh.com/xe-toyota-innova-2.0e-2018-5413384," *Xe lắp ráp trong nước, màu bạc, máy xăng 2.0 L, số tay, đã đi 77,000 km ... ",Mã: 5413384,2018.0,Xe đã dùng,"77,000 Km",Lắp ráp trong nước,Crossover,Xăng  2.0 L,Bạc,Nâu,8 chỗ,5 cửa
Mercedes Benz S class S450L - 2019, Xe cũ,2 Tỷ 599 Triệu,Hà Nội,https://bonbanh.com/xe-mercedes_benz-s_class-s450l-2019-5432961," *Xe lắp ráp trong nước, màu trắng, máy xăng 3.0 L, số tự động, đã đi 20,000 km ... ",Mã: 5432961,2019.0,Xe đã dùng,"20,000 Km",Lắp ráp trong nước,Sedan,Xăng  3.0 L,Trắng,Kem,5 chỗ,4 cửa
Hyundai SantaFe Cao cấp 2.5L HTRAC - 2022, Xe cũ,1 Tỷ 140 Triệu,Hà Nội,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.5l-htrac-2022-5355788," *Xe lắp ráp trong nước, màu trắng, máy xăng 2.5 L, số tự động, đã đi 20,000 km ... ",Mã: 5355788,2022.0,Xe đã dùng,"20,000 Km",Lắp ráp trong nước,SUV,Xăng  2.5 L,Trắng,Nâu,7 chỗ,5 cửa
Mercedes Benz C class C300 AMG - 2019, Xe cũ,1 Tỷ 180 Triệu,Hà Nội,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2019-5396719," *Xe lắp ráp trong nước, màu đỏ, máy xăng 2.0 L, số tự động, đã đi 33,000 km ... ",Mã: 5396719,2019.0,Xe đã dùng,"33,000 Km",Lắp ráp trong nước,Sedan,Xăng  2.0 L,Đỏ,Nâu,5 chỗ,4 cửa
